sale_date,maker_id,maker_name,type,city_maker,auction_house,sale_date.1,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
2004-07-12,183,"Gabrielli, Giovanni Battista",Violin,Florence,Bonhams,2004-07-12,14,45403.0,42665.68597168597,36624.0,gbp,2004,7,12,0.5823177105751848,0.5709037472446731,0.6401482969027573,1.8637,1.2404,79516.03894543114,1913.6460309359943,-0.0021122570031046,-0.0404813855899471,0.0943565029291866,0.0955162932730723,0.1185694103403335,0.1186082255870255,1920.0433427761952,1919.235446649889,1.000420946855539,1.8637,0.0086594144071008,0.0042168063440985,4.46,0.0068,-1.9056102223925964,698.7594,IT,Tuscany,Province of Florence,47.0,True,"Gabrielli, Giovanni Battista",Violin maker,1716-1771,Gabrielli,18.0,False
1989-07-27,1626,"Hill & Sons, W. E. Firm",Viola Bow,London,Phillip's,1989-07-27,151,1120.0,1801.3235294117646,,gbp,1989,7,27,0.3824726673471647,0.3747244673034534,,1.6605,,2991.0977205882355,894.1553722163259,0.0535320065398059,0.1596882993254194,0.2246080038842255,0.1244311305489722,0.1098742925864994,0.1218436652574293,852.4258063829346,790.6700500813561,1.0781055970125897,1.6605,-0.0309308433031806,0.0079118016227733,7.92,-0.0150999999999999,4.600865476702771,974.0042,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
2019-05-17,1364,"Lee, John Norwood",Violin Bow,"Chicago, IL",Tarisio,2019-05-17,61,1198.9358824172564,740.0,845.0,usd,2019,5,17,0.7873648740053866,0.7927994121969141,0.8128523982389743,1.2733,1.1167,1198.9358824172564,3631.772414167046,-0.0090068322119887,0.0917541998672475,0.0318749538142,0.1153474491716803,0.1086602062621514,0.1517538084301183,3654.955705035613,3569.050883279594,1.024069374342201,1.2733,0.0001570968502082,0.0043175128465183,2.39,-0.0031999999999999,3.0080540385964194,1622.0561,US,Illinois,Cook County,,False,"Lee, John Norwood",Bow maker,b. 1953,Lee,20.0,True
1986-05-21,1496,Neuner & Hornsteiner,Violin,Mittenwald,Phillip's,1986-05-21,349,217.0,438.3114616387668,,gbp,1986,5,21,0.3348173108850983,0.326252020573108,,1.5165,,664.6993315751898,703.219305853165,0.0044978582550483,0.1463015104403984,0.2233214367339886,0.1306693111694286,0.1314745320811947,0.1163844252169545,708.1747210918536,624.7151840851461,1.133596139701532,1.5165,0.0403375180078204,0.0074599259811738,7.9,-0.0141,2.743984422117552,1003.3173,DE,Bavaria,Upper Bavaria,1.0,False,Neuner & Hornsteiner,Violin maker,b. 1850,Neuner & Hornsteiner,19.0,False
1980-03-27,98,"Camilli, Camillo",Violin,Mantua,Phillip's,1980-03-27,-,9087.0,19601.221075262893,,gbp,1980,3,27,0.2462705840394524,0.213252020573108,,2.1784,,42699.29999035268,398.8296109492652,-0.1831430383824851,-0.1032865596282877,-0.1611294263004778,0.1942738286816471,0.1678073967338997,0.1403428335421758,456.3031856806966,458.30268709964827,0.9956371597303836,2.1784,-0.0018785796105385,0.0057483393836033,12.97,0.0234999999999999,-5.85657813588333,1970.3937,IT,Lombardy,Provincia di Mantova,2.0,True,"Camilli, Camillo",Violin maker,1703-1754,Camilli,18.0,False
1990-03-29,158,"Derazey, Honoré (Jean-Joseph)",Violin,Mirecourt,Phillip's,1990-03-29,111,10784.0,16916.38418079096,,gbp,1990,3,29,0.3956931855914798,0.3901542983100661,,1.631,,27590.622598870053,861.2481107945061,0.0208621423015284,-0.0241041304407557,0.0982575081078542,0.1191497989796292,0.1283673240001107,0.1358308477241714,846.6972528341158,878.1672068457401,0.9641640523965131,1.631,0.0458480282141711,0.005999178631855,8.6,0.0079499999999999,-2.632500007789126,938.3533,FR,Grand Est,Vosges,2.0,True,"Derazey, Honoré (Jean-Joseph)",Violin maker,1794-1883,Derazey,18.0,False
2011-10-14,1259,"Charotte-Millot, Joseph",Violin,Mirecourt,Christie's,2011-10-14,40,2872.9843963236626,1267.0,1449.0,usd,2011,10,14,0.6961402235804852,0.6943423952975754,0.7457326021472156,1.5798,1.3879,2872.9843963236626,1759.0995528979167,0.0188398167001797,-0.0459224934430182,0.0056887863993715,0.2984950004538582,0.3058805566576203,0.2070832027188978,1682.494869042433,1847.7368310369225,0.9105706184891286,1.5798,-0.0347060980080654,0.0071475689731997,2.26,-0.0073,-1.9875117392073505,2411.9997,FR,Grand Est,Vosges,2.0,True,"Charotte-Millot, Joseph",Violin maker,1798-1849,Charotte-Millot,18.0,False
2011-10-06,683,"Silvestre, Pierre & Hippolyte",Violin,Lyon,Tarisio,2011-10-06,82,7348.0,6913.015873015873,5538.0,gbp,2011,10,6,0.6961402235804852,0.6943423952975754,0.7457326021472156,1.5384,1.3433,10634.983619047618,1673.4702740078562,-0.0101834294768506,-0.135728011128838,-0.0282879915185731,0.296433982165101,0.3006902763224685,0.2033763948703307,1694.4453222945094,1852.1711447048765,0.9148427385550816,1.5384,-0.0620084141210901,0.006247582652421,2.01,-0.0103,-1.5246627823934882,2369.7526,FR,Rhône-Alpes,Rhône,4.0,True,"Silvestre, Pierre & Hippolyte",Violin maker,1831-1859,Silvestre,19.0,False
1983-06-23,1373,"Hill, Joseph I",Violin,London,Sotheby's,1983-06-23,353,475.0,1088.2957092090314,,gbp,1983,6,23,0.3059166430952,0.2830113152094048,,1.5415,,1677.607835745722,557.5702112785608,0.0308906339345156,0.1268863310894386,0.523587407716303,0.1145211381355181,0.1301930581309587,0.1836558547903292,537.4843945965335,485.35292092049497,1.107409415765272,1.5415,-0.0032331070158421,0.006858107442065,10.9,0.0018999999999999,2.6424010458146387,1374.5574,GB,England,Greater London,34.0,True,"Hill, Joseph I",Violin maker,1715-1784,Hill,18.0,False
2006-11-06,522,"Peccatte, Dominique",Cello Bow,Paris,Brompton's,2006-11-06,106,4742.0,4139.294403892944,3733.0,gbp,2006,11,6,0.6195196340068624,0.6039676708302719,0.6715069127983316,1.8965,1.2726,7850.171836982968,2227.177241135817,0.0474954917626262,0.0915227757934209,0.1089502787635932,0.0723904466006181,0.0925087208323353,0.1003209606876702,2155.0831684319896,2086.783747686207,1.0327295153709684,1.8965,0.0254677192603007,0.0037924146897723,4.71,-0.0044,7.667049991506104,1004.9722,FR,Île-de-France,Paris,59.0,True,"Peccatte, Dominique",Bow maker,1810-1874,Peccatte,19.0,False
